# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿community_name,price,community_url,total_members
That Pickleball School,$49/month,https://www.skool.com/thatpickleballschool/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.3k Members • $49/month
AI Automation Society,Free,https://www.skool.com/ai-automation-society/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,314.4k Members • Free
Calligraphy Skool,Free,https://www.skool.com/calligraphy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1k Members • Free
Ina's Dance Academy,$149/month,https://www.skool.com/inasdanceacademy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,436 Members • $149/month
Skoolers,Free,https://www.skool.com/skoolers/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,191.8k Members • Free
The Lady Change,$37/month,https://www.skool.com/theladychange/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.1k Members • $37/month
The Aspinall Way,Free,https://www.skool.com/theaspinallway/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,29.5k Members • Free
Zero To Founder by Tom Bilyeu,$119/month,https://www.skool.com/tom-bilyeu/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.4k Members • $119/month
Day by Day Wellness Club,Free,https://www.skool.com/day-by-day-family-4722/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,61.3k Members • Free
Unison Producer Growth Hub,Free,https://www.skool.com/unison-producer-growth-hub/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,44.6k Members • Free
The Acting Lab,$199/month,https://www.skool.com/the-acting-lab/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,168 Members • $199/month
School of Mentors,$25/month,https://www.skool.com/schoolofmentors/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,5.6k Members • $25/month
Pocket Singers Free,Free,https://www.skool.com/pocketsingersfree/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,17.4k Members • Free
Dating With Gracie,"$6,000/year",https://www.skool.com/dating/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,"91 Members • $6,000/year"
TFW Global,$35/month,https://www.skool.com/trading-for-women/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.3k Members • $35/month
ACQ VANTAGE,"$1,000/month",https://www.skool.com/acq/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,"857 Members • $1,000/month"
Bourbonado Community,Free,https://www.skool.com/bourbonado/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.3k Members • Free
REVENUE REVOLUTION,Free,https://www.skool.com/revenuerevolution/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,7.1k Members • Free
The Kingdom Lounge,Free,https://www.skool.com/the-kingdom-lounge/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,4k Members • Free
Synthesizer: Free Skool Growth,Free,https://www.skool.com/synthesizer/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,39.3k Members • Free
Photography Academy Prime,$47/month,https://www.skool.com/photographyacademyprime/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,859 Members • $47/month
AI Video Bootcamp,$9/month,https://www.skool.com/aivideobootcamp/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,16.9k Members • $9/month
Abbew Crew,$260,https://www.skool.com/abbewcrew/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,28.1k Members • $260
Your First $5k Club w/ARLAN,Free,https://www.skool.com/yourfirst5k/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,24.8k Members • Free
Kickstarter Challenge,Free,https://www.skool.com/lwp-kickstarter/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,26.3k Members • Free
𝙂𝙊𝙊𝙎𝙄𝙁𝙔 🍓🐛🦋🌈⭐️🩷,Free,https://www.skool.com/goosify/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,12.1k Members • Free
Mikey's Money House,$8/month,https://www.skool.com/mikeysmoneyhouse/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,5.9k Members • $8/month
Apna Kamao,Free,https://www.skool.com/apna-kamao-9655/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.5k Members • Free
STNDRD Coaching,Free,https://www.skool.com/stndrd-coaching/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,80 Members • Free
🐉 Order of Explorers,$19/month,https://www.skool.com/oxe/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,39 Members • $19/month
4biddenknowledge Academy,$55/month,https://www.skool.com/4biddenknowledge/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.8k Members • $55/month
Brotherhood Of Scent,Free,https://www.skool.com/bos/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,8.7k Members • Free
