# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿community_name,price,community_url,total_members
The Lady Change,$37/month,https://www.skool.com/theladychange/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.1k Members • $37/month
Abbew Crew,$260,https://www.skool.com/abbewcrew/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,28.1k Members • $260
Kickstarter Challenge,Free,https://www.skool.com/lwp-kickstarter/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,26.3k Members • Free
STNDRD Coaching,Free,https://www.skool.com/stndrd-coaching/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,80 Members • Free
GET FIT TOGETHER,$1/month,https://www.skool.com/getfit-together/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,12.9k Members • $1/month
Studio Era Society,Free,https://www.skool.com/studio-era/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,11.1k Members • Free
Feel Look Be Lifestyle Ready,Free,https://www.skool.com/feellookbeready/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,774 Members • Free
Core Club,Free,https://www.skool.com/coreclub/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.5k Members • Free
28Pilates,Free,https://www.skool.com/28pilates/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,10.3k Members • Free
ANIME SHREDS - THE DOJO,$11/month,https://www.skool.com/animeshreds/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2k Members • $11/month
Club Raw,$39/month,https://www.skool.com/clubraw/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,695 Members • $39/month
Magical Transformations,$25/month,https://www.skool.com/magical-transformations/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,717 Members • $25/month
The Holistic Reset Club™,$997/year,https://www.skool.com/the-holistic-reset-club-6819/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,74 Members • $997/year
⚔️ Warrior-Makers Community!,Free,https://www.skool.com/warrior-makers/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,4.3k Members • Free
Exploring Peptides Community,Free,https://www.skool.com/exploring-peptides-community/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,12.4k Members • Free
The FitMama Club,"$4,500",https://www.skool.com/fitmama-club/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,"127 Members • $4,500"
Mobility & Injury Prevention,Free,https://www.skool.com/movesmethod/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,193.5k Members • Free
Oscar's Community,$39/month,https://www.skool.com/oscars-community/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,6.9k Members • $39/month
Savage Sisters,$29/month,https://www.skool.com/savagesisters/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,125 Members • $29/month
Natural Living Club,$3/month,https://www.skool.com/natural-living/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.7k Members • $3/month
April Laugh Active,$99/month,https://www.skool.com/april-laugh-active/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,217 Members • $99/month
Official Infinity Hoop,Free,https://www.skool.com/infinity-hoop/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,8.1k Members • Free
The Stronger Human,Free,https://www.skool.com/thestrongerhuman/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,26.9k Members • Free
Big boys R us,Free,https://www.skool.com/big-boys-r-us-4892/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,933 Members • Free
Project Biohacked,Free,https://www.skool.com/projectbiohacked/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,11.2k Members • Free
Raw Food Romance,$47/month,https://www.skool.com/raw-food-romance-3420/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,321 Members • $47/month
The Movement,$35/month,https://www.skool.com/move/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,865 Members • $35/month
Breakthrough Body Blueprint,Free,https://www.skool.com/darrenliufitness/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,562 Members • Free
Shonen Strength,$79,https://www.skool.com/shonen-strength/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.1k Members • $79
Tsk Diet ( Premium Community ),$37/month,https://www.skool.com/tsk-diet-premium-community/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,184 Members • $37/month
La TEAM FlashFitHome,$99/month,https://www.skool.com/lateamflashfithome/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,345 Members • $99/month
FWTLO,Free,https://www.skool.com/fwtlo/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,476 Members • Free
