# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿community_name,price,community_url,total_members
Calligraphy Skool,Free,https://www.skool.com/calligraphy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1k Members • Free
The Acting Lab,$199/month,https://www.skool.com/the-acting-lab/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,168 Members • $199/month
Bourbonado Community,Free,https://www.skool.com/bourbonado/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.3k Members • Free
Photography Academy Prime,$47/month,https://www.skool.com/photographyacademyprime/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,859 Members • $47/month
Brotherhood Of Scent,Free,https://www.skool.com/bos/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,8.7k Members • Free
Circular Machine Knitting Addi,Free,https://www.skool.com/circular-machine-knitting/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.7k Members • Free
Di-Maccio Art Academy,Free,https://www.skool.com/di-maccio-art-academy-free/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,4.8k Members • Free
Watch Lover | Community,Free,https://www.skool.com/watch-lover/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.7k Members • Free
BBQ Nation,$1/month,https://www.skool.com/bbqfr/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.6k Members • $1/month
Crust & Crumb Academy,Free,https://www.skool.com/crust-crumb-academy-7621/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,611 Members • Free
ABV Society,$10/month,https://www.skool.com/abv-society/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,105 Members • $10/month
Wonderful World English,Free,https://www.skool.com/wonderful-world-english/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,7.4k Members • Free
English Paper Piecing Society,Free,https://www.skool.com/epp/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,255 Members • Free
Photon Academy,$14/month,https://www.skool.com/photonacademy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,349 Members • $14/month
CLUB GELARTE,$12/month,https://www.skool.com/clubgelarte/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,141 Members • $12/month
