# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿community_name,price,community_url,total_members
Dating With Gracie,"$6,000/year",https://www.skool.com/dating/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,"91 Members • $6,000/year"
Social Freedom Club ⚡,Free,https://www.skool.com/confidence/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.6k Members • Free
Magnetic Love Collective,$19/month,https://www.skool.com/manifestwithmatt/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,88 Members • $19/month
Marriage Reset Group,Free,https://www.skool.com/marriage-reset-9827/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.7k Members • Free
BELONG,Free,https://www.skool.com/belong/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,421 Members • Free
"Better Man, Better Marriage",$67/month,https://www.skool.com/bettermen/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,71 Members • $67/month
The Human Practice 💕,Free,https://www.skool.com/thehumanpractice/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,284 Members • Free
Male Commitment Decoded,Free,https://www.skool.com/male-commitment-decoded/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,68 Members • Free
GATHR,Free,https://www.skool.com/gathr/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.3k Members • Free
Thrive Muslimah,$37/month,https://www.skool.com/thrive-muslimah/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,99 Members • $37/month
HerFaithfulSpace,$7/month,https://www.skool.com/consult-a-muslimah/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,463 Members • $7/month
MEN's Dating ACADEMY ⭐️🏆,Free,https://www.skool.com/3secondrule/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.3k Members • Free
Couple's Growth Skool,$97/month,https://www.skool.com/couples-growth-official-4160/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,463 Members • $97/month
SINGLE 2 MARRIED,$97/month,https://www.skool.com/single2married/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,50 Members • $97/month
The Next Chapter,$97/month,https://www.skool.com/the-next-chapter/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,466 Members • $97/month
Pets Mascotas 💙🐾🌍 PetPals,$9/month,https://www.skool.com/pets-mascotas/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,22 Members • $9/month
The Married Ambition Alliance,Free,https://www.skool.com/the-married-ambition-alliance/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,31 Members • Free
Fertility Girl Gang,$7/month,https://www.skool.com/fertility-girl-gang-1327/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,352 Members • $7/month
Modern Dating Mastery,Free,https://www.skool.com/mdm/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.8k Members • Free
High Value Women School,$19/month,https://www.skool.com/high-value-women-school-5640/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,18 Members • $19/month
Perfectly Imperfect Moms,Free,https://www.skool.com/perfectly-imperfect-moms-1790/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,301 Members • Free
The Healing Project,$35/month,https://www.skool.com/the-healing-project-4767/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,200 Members • $35/month
Rizz University (WingMan Plus),$49/month,https://www.skool.com/rizzuniversity/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,302 Members • $49/month
Happily Ever Authors (Free),Free,https://www.skool.com/happily-ever-authors-writers-8500/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2k Members • Free
Zomoroda || زُمُرُّدَة,$10/month,https://www.skool.com/untha-1553/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,41 Members • $10/month
The JOY Project,Free,https://www.skool.com/thejoyproject-6569/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,484 Members • Free
💗 Wives Saving Their Marriage,$47/month,https://www.skool.com/empowered-wives-skills-mastery/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,70 Members • $47/month
Vínculo,$14/month,https://www.skool.com/vinculo/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,44 Members • $14/month
The Skool Café,Free,https://www.skool.com/the-skool-cafe-7946/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,120 Members • Free
The Relationship Chef,Free,https://www.skool.com/chefs-kiss-8508/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,88 Members • Free
The HuRU Crew,Free,https://www.skool.com/hurucrew/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,310 Members • Free
C.S. Joseph,$29/month,https://www.skool.com/csjoseph/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,268 Members • $29/month
Behavioural Intelligence Lab,Free,https://www.skool.com/behaviouralintelligencelab/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,167 Members • Free
TACHELES mit Honig,Free,https://www.skool.com/tacheles-mit-honig-feedback-8336/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,60 Members • Free
hoomans.,Free,https://www.skool.com/hoomans/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,556 Members • Free
Optimal Game System,$27,https://www.skool.com/sigma-society/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1k Members • $27
Ranch Romance Blueprint,Free,https://www.skool.com/ranch-romance-blueprint-7719/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,11 Members • Free
Bindungspionier:innen,"$1,199",https://www.skool.com/elterncommunity-premium/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,"138 Members • $1,199"
Wingman 4 Life,Free,https://www.skool.com/the-3-year-wingman-6884/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,106 Members • Free
Esoteric Attraction Archives,$39/month,https://www.skool.com/esoteric-attraction-6872/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,164 Members • $39/month
Aligned & Unapologetic,Free,https://www.skool.com/alignedandunapologetic/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,424 Members • Free
ALLTAG heroes,Free,https://www.skool.com/alltagheroes-6143/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,269 Members • Free
Connect and Grow,Free,https://www.skool.com/cook-connection-5409/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,35 Members • Free
Club Orlander | Escuela LGTBI+,"$10,000/year",https://www.skool.com/orlander/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,"66 Members • $10,000/year"
Real Men's Dating Academy,"$5,999",https://www.skool.com/real-mens-dating-academy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,"19 Members • $5,999"
Safe Heart Connections,Free,https://www.skool.com/safeheartconnections-2777/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,287 Members • Free
Ace of Cups Collective,Free,https://www.skool.com/ace-of-cups-collective/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,825 Members • Free
💖 Love Yourself to Health 💖,Free,https://www.skool.com/loveyourselftohealth/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,58 Members • Free
