# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿community_name,price,community_url,total_members
The Aspinall Way,Free,https://www.skool.com/theaspinallway/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,29.5k Members • Free
Day by Day Wellness Club,Free,https://www.skool.com/day-by-day-family-4722/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,61.3k Members • Free
🐉 Order of Explorers,$19/month,https://www.skool.com/oxe/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,39 Members • $19/month
4biddenknowledge Academy,$55/month,https://www.skool.com/4biddenknowledge/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.8k Members • $55/month
Franzese Family,$10/month,https://www.skool.com/franzese-family/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,848 Members • $10/month
Let's Master English,Free,https://www.skool.com/lme/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,5.1k Members • Free
Natural Living Makeover,Free,https://www.skool.com/natural-living-makeover-now/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,4.7k Members • Free
Library of Adonis,$37/month,https://www.skool.com/library-of-adonis/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.4k Members • $37/month
Strong Confident Living,Free,https://www.skool.com/strongconfidentliving/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.4k Members • Free
男兒幫-N.M.O,$49/month,https://www.skool.com/nmo/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,590 Members • $49/month
The Grim Circle,$39/month,https://www.skool.com/grim/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.2k Members • $39/month
Superior Students,Free,https://www.skool.com/study/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,20.4k Members • Free
Gamify SAT,Free,https://www.skool.com/gamifysat/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,17.5k Members • Free
Camp Nursing School,$9/month,https://www.skool.com/campnursingschool/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.5k Members • $9/month
Real Men Real Style Community,Free,https://www.skool.com/rmrs/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,13.5k Members • Free
ITLC,Free,https://www.skool.com/itlc/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.8k Members • Free
Tribu Vida Consciente,Free,https://www.skool.com/tribu/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,421 Members • Free
Unlimited Wisdom,Free,https://www.skool.com/unlimitedwisdom/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.6k Members • Free
Mandarin Blueprint Lite,Free,https://www.skool.com/mandarin-blueprint-free/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,31.4k Members • Free
The 1550+ Formula,$99/month,https://www.skool.com/satprep/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,390 Members • $99/month
3.6.9 Community,$39/month,https://www.skool.com/369community/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,708 Members • $39/month
CC.us Ivy-Bound Challenge,Free,https://www.skool.com/ccus-ivy-bound-challenge-9654/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,77 Members • Free
LIBERAL CLARITY GROUP,$27/year,https://www.skool.com/liberal-clarity-group/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.1k Members • $27/year
The NO BS Society! (FREE),Free,https://www.skool.com/nobs/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,524 Members • Free
NeuroSpicy Community,$29/month,https://www.skool.com/neurospicy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.5k Members • $29/month
ADHD Harmony™,Free,https://www.skool.com/adhd/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,4.9k Members • Free
High Achiever Society,Free,https://www.skool.com/highachieversociety/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,3.8k Members • Free
Evergreen Foundations,Free,https://www.skool.com/foundations/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,661 Members • Free
Neurohacking Community,Free,https://www.skool.com/neurohacking/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,877 Members • Free
Sociedad ELITE,$97/month,https://www.skool.com/sociedad-elite-7312/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,176 Members • $97/month
