# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿community_name,price,community_url,total_members
"REIKI USUI , KARUNA, SHAMBALLA",Free,https://www.skool.com/reiki-usui-karuna-shamballa-2988/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,66 Members • Free
Society of Seers & Scribes,$11/month,https://www.skool.com/write-to-manifest/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,68 Members • $11/month
MODPASS,Free,https://www.skool.com/modpass/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.3k Members • Free
Writing Into The Wound,Free,https://www.skool.com/phoenix-raiin-1819/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,40 Members • Free
Protestant Gentlemen Institute,Free,https://www.skool.com/protestant-gentleman-institute-3925/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,180 Members • Free
Cosmic Fusion,$29/month,https://www.skool.com/cosmic-fusion-369/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,13 Members • $29/month
The Light of Three,Free,https://www.skool.com/the-light-of-three-5429/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,15 Members • Free
Flock | Collective,Free,https://www.skool.com/flock/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,227 Members • Free
Ancestral Movement Meditation,Free,https://www.skool.com/ancestral-movement-meditation-3155/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,11 Members • Free
Yon Chen Healing Community,$47,https://www.skool.com/yon-chen-healing/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,84 Members • $47
PropheticImpartationInstitute,Free,https://www.skool.com/propheticimpartationinstitute-4002/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,34 Members • Free
The Craniosacral Classroom,Free,https://www.skool.com/the-craniosacral-classroom-2206/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,124 Members • Free
Heal. Lead. Multiply. COACHING,$400/year,https://www.skool.com/heal-lead-multiply-coaching-8715/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,19 Members • $400/year
💰Money Manifesting Magic,$33/month,https://www.skool.com/mmm/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,23 Members • $33/month
Raise Your Frequency Academy,$39/month,https://www.skool.com/raise-your-frequency-5307/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,35 Members • $39/month
Candidatos a misioneros,Free,https://www.skool.com/candidatosamisioneros-9209/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,23 Members • Free
The Purposed Path,$45/month,https://www.skool.com/the-purposed-path-6858/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,13 Members • $45/month
The Reignite Circle,Free,https://www.skool.com/the-reignite-circle-7916/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,6 Members • Free
Les Voies de l'Âme,Free,https://www.skool.com/les-voies-de-lame-8349/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,29 Members • Free
Lebenspüren Frauen im Wandel,Free,https://www.skool.com/lebenspuren-1305/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,58 Members • Free
Argentina Abraza,Free,https://www.skool.com/argentina-abraza-5962/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,20 Members • Free
Deeper Connection,Free,https://www.skool.com/deeper-connection-1119/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,313 Members • Free
Angel Archetype Society,$39/month,https://www.skool.com/angelarchetype/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,189 Members • $39/month
DISCIPLESHIP COMMUNITY,$9/month,https://www.skool.com/discipleship-community-7641/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,5 Members • $9/month
Harmony Heals,Free,https://www.skool.com/harmony-heals-8029/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,111 Members • Free
Drzna alkimija by Neža Kutnar,$33/month,https://www.skool.com/drzna-alkimija-by-neza-kutnar-9663/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,38 Members • $33/month
Path Back to Yourself,Free,https://www.skool.com/iamthelightsanctuary/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,13 Members • Free
The New Creation House,Free,https://www.skool.com/the-new-creations-5192/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,167 Members • Free
Witality Apprenticeship,Free,https://www.skool.com/witality-advanced-3682/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,41 Members • Free
