# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿community_name,price,community_url,total_members
That Pickleball School,$49/month,https://www.skool.com/thatpickleballschool/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.3k Members • $49/month
Ina's Dance Academy,$149/month,https://www.skool.com/inasdanceacademy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,436 Members • $149/month
The Soccer Pathway Pro,$77/month,https://www.skool.com/proplayerpathway/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,250 Members • $77/month
Player Accelerator,$999/month,https://www.skool.com/zth-champions-club/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,5.2k Members • $999/month
Total Goalkeeping,Free,https://www.skool.com/goalkeeper/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,7.4k Members • Free
Bulletproof Cycling Club,$595/year,https://www.skool.com/bulletproof/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,914 Members • $595/year
Ventures Fly Co.,Free,https://www.skool.com/ventures-fly-co/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,5.6k Members • Free
Skate Life,Free,https://www.skool.com/skate/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,14.2k Members • Free
The Pro Player Pathway,$197,https://www.skool.com/theproplayerpathway/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,313 Members • $197
THP Jump Training,Free,https://www.skool.com/thp/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,79.5k Members • Free
Swimpros 🏊,Free,https://www.skool.com/mindgympro/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1.2k Members • Free
Ellis Academy,$189/year,https://www.skool.com/ellisacademy/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,199 Members • $189/year
Skate IQ Team,$9/month,https://www.skool.com/skateiq/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,1k Members • $9/month
Team Activated,$49/month,https://www.skool.com/team-activated/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,253 Members • $49/month
Drini's Vault,Free,https://www.skool.com/drinisvault/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,2.6k Members • Free
⚽️ The Female Footballers Club,$12/month,https://www.skool.com/the-female-footballers-club/about?utm_source=skooldotcom&utm_medium=website&utm_campaign=discovery_group_link&utm_content=browse,551 Members • $12/month
