community_name,price,community_url,total_members
"That Pickleball School","$39/month","https://www.skool.com/thatpickleballschool?ref=009cad01267c4da0ac6862ad898ae902","1300"
"AI Automation Society","Free","https://www.skool.com/ai-automation-society?ref=009cad01267c4da0ac6862ad898ae902","211900"
"Calligraphy Skool","$9/month","https://www.skool.com/calligraphy?ref=009cad01267c4da0ac6862ad898ae902","1200"
"Ina's Dance Academy","$99/month","https://www.skool.com/inasdanceacademy?ref=009cad01267c4da0ac6862ad898ae902","464"
"Skoolers","Free","https://www.skool.com/skoolers?ref=009cad01267c4da0ac6862ad898ae902","182500"
"The Lady Change","$49/month","https://www.skool.com/theladychange?ref=009cad01267c4da0ac6862ad898ae902","1200"
"The Aspinall Way","Free","https://www.skool.com/theaspinallway?ref=009cad01267c4da0ac6862ad898ae902","25100"
"Zero To Founder by Tom Bilyeu","$119/month","https://www.skool.com/tom-bilyeu?ref=009cad01267c4da0ac6862ad898ae902","2200"
"Day by Day Wellness Club","Free","https://www.skool.com/daybydayclub?ref=009cad01267c4da0ac6862ad898ae902","61200"
"Unison Producer Growth Hub","Free","https://www.skool.com/unison-producer-growth-hub?ref=009cad01267c4da0ac6862ad898ae902","40300"
"The Acting Lab","$199/month","https://www.skool.com/the-acting-lab?ref=009cad01267c4da0ac6862ad898ae902","190"
"School of Mentors","$29/month","https://www.skool.com/schoolofmentors?ref=009cad01267c4da0ac6862ad898ae902","6200"
"Pocket Singers FREE","Free","https://www.skool.com/pocketsingersfree?ref=009cad01267c4da0ac6862ad898ae902","14200"
"Dating With Gracie","$6,000/year","https://www.skool.com/dating?ref=009cad01267c4da0ac6862ad898ae902","92"
"The Screen Time Adventure","$21/month","https://www.skool.com/adventure?ref=009cad01267c4da0ac6862ad898ae902","329"
"TFW Global","$35/month","https://www.skool.com/trading-for-women?ref=009cad01267c4da0ac6862ad898ae902","3200"
"ACQ Scale Advisory","Free","https://www.skool.com/acq?ref=009cad01267c4da0ac6862ad898ae902","1000"
"Bourbonado Community","Free","https://www.skool.com/bourbonado?ref=009cad01267c4da0ac6862ad898ae902","1800"
"The Kingdom Lounge","Free","https://www.skool.com/the-kingdom-lounge?ref=009cad01267c4da0ac6862ad898ae902","3200"
"Mikey's Money House","$8/month","https://www.skool.com/mikeysmoneyhouse?ref=009cad01267c4da0ac6862ad898ae902","4300"
"Brotherhood Of Scent","Free","https://www.skool.com/bos?ref=009cad01267c4da0ac6862ad898ae902","9600"
"Kickstarter Challenge","Free","https://www.skool.com/lwp-kickstarter?ref=009cad01267c4da0ac6862ad898ae902","23900"
"𝙂𝙊𝙊𝙎𝙄𝙁𝙔 🍓🐛🦋🌈⭐️🩷","Free","https://www.skool.com/goosify?ref=009cad01267c4da0ac6862ad898ae902","8500"
"4biddenknowledge Academy","$55/month","https://www.skool.com/4biddenknowledge?ref=009cad01267c4da0ac6862ad898ae902","1400"
"Abbew Crew","$17/month","https://www.skool.com/abbewcrew?ref=009cad01267c4da0ac6862ad898ae902","21400"
"Self Inquiry Support Group","Free","https://www.skool.com/sunnysharmasupport?ref=009cad01267c4da0ac6862ad898ae902","6600"
"The AI Advantage","Free","https://www.skool.com/the-ai-advantage?ref=009cad01267c4da0ac6862ad898ae902","65400.00000000001"
"Make $1k-$10k in 30 days","Free","https://www.skool.com/make-1k-5k-in-30-days-8449?ref=009cad01267c4da0ac6862ad898ae902","10500"
"AI Automation Agency Hub","Free","https://www.skool.com/learn-ai?ref=009cad01267c4da0ac6862ad898ae902","275600"
"Life Youniversity","$49/month","https://www.skool.com/lifeyouniversity?ref=009cad01267c4da0ac6862ad898ae902","42"
"Free Skool Course","Free","https://www.skool.com/free-course?ref=009cad01267c4da0ac6862ad898ae902","10800"
"ANIME SHREDS - THE DOJO","$297/year","https://www.skool.com/animeshreds?ref=009cad01267c4da0ac6862ad898ae902","2400"
"AI Automation (A-Z)","Free","https://www.skool.com/freegroup?ref=009cad01267c4da0ac6862ad898ae902","119100"
"Lion Mode Club","$69/month","https://www.skool.com/lmc?ref=009cad01267c4da0ac6862ad898ae902","2100"
"Franzese Family","$20/month","https://www.skool.com/franzese-family?ref=009cad01267c4da0ac6862ad898ae902","836"
"Pink Print Prep Skool™ (P3)","$1","https://www.skool.com/pink-print-prep-skool-p3?ref=009cad01267c4da0ac6862ad898ae902","1100"
"Real Men Real Style Community","Free","https://www.skool.com/rmrs?ref=009cad01267c4da0ac6862ad898ae902","13900"
"Imperium Academy™","Free","https://www.skool.com/academy?ref=009cad01267c4da0ac6862ad898ae902","32900"
"Di-Maccio Art Academy","Free","https://www.skool.com/di-maccio-art-academy-free?ref=009cad01267c4da0ac6862ad898ae902","4100"
"Photography Academy PRIME","$47/month","https://www.skool.com/photographyacademyprime?ref=009cad01267c4da0ac6862ad898ae902","563"
"Reality Revolution","$57/month","https://www.skool.com/realityrevolution?ref=009cad01267c4da0ac6862ad898ae902","786"
